Model,Plan_Capacity,Man_power,SHIFT,Total_Down_time,Material_Loss,Has_downtime,Material_Issue,Prev_Day_Completion,Prev_Day_Downtime,Actual_Qty
4KW,22,7,0.5,0,0,0,0,100,0,22
4KW,48,7,1.0,0,0,0,0,100,0,48
4KW,13,5,0.5,225,225,1,1,100,0,13
11KW,9,5,0.5,450,450,1,1,100,0,2
11KW,5,5,0.5,204,204,1,1,100,0,5
4KW,14,5,0.5,324,324,1,1,100,0,14
4KW,16,6,1.0,149,149,1,1,100,0,16
4KW,7,6,1.0,0,0,0,0,100,0,7
4KW,29,6,1.0,0,0,0,0,100,0,29
4KW,25,6,1.0,0,0,0,0,100,0,25
4KW,50,7,1.0,0,0,0,0,100,0,50
4KW,12,7,1.0,27,27,1,0,100,0,12
4KW,27,4,0.5,0,0,0,0,100,0,27
4KW,44,7,1.0,0,0,0,0,100,0,44
11KW6P,2,5,1.0,270,270,1,1,100,0,2
7.5KW,17,6,0.5,114,114,1,1,100,0,17
7.5KW,16,5,0.5,120,120,1,1,100,0,16
4KW,19,6,1.0,110,110,1,1,100,0,19
4KW,36,5,1.0,0,0,0,0,100,0,36
4KW,40,6,1.0,0,0,0,0,100,0,40
7.5KW,9,4,0.5,0,0,0,0,100,0,9
4KW,28,4,1.0,0,0,0,0,100,0,28
4KW,24,3,0.5,0,0,0,0,100,0,24
4KW,50,6,1.0,0,0,0,0,100,0,50
4KW,4,4,1.0,0,0,0,0,100,0,4
4KW,33,6,1.0,0,0,0,0,100,0,33
4KW,38,6,0.5,0,0,0,0,100,0,38
4KW,3,3,1.0,0,0,0,0,100,0,3
4KW,26,4,1.0,0,0,0,0,100,0,26
9KW,16,4,1.0,0,0,0,0,100,0,15
4KW,50,7,1.0,0,0,0,0,100,0,50
